Timestamp,Value (PSU)
4/9/06 0:00,24.11078571328048
4/10/06 0:00,22.90267248248995
4/11/06 0:00,22.675672789054882
4/12/06 0:00,22.24564349136337
4/13/06 0:00,20.98210261936851
4/14/06 0:00,21.02951006
4/15/06 0:00,26.512134415110754
4/16/06 0:00,26.55572005059597
4/17/06 0:00,26.12023886627099
4/18/06 0:00,22.050639463660044
4/19/06 0:00,21.766996374790832
4/20/06 0:00,21.767067662048476
4/21/06 0:00,22.14684543558891
4/22/06 0:00,24.552166114462832
4/23/06 0:00,28.759969779644383
4/24/06 0:00,29.052190824332502
4/25/06 0:00,27.808276786347676
4/26/06 0:00,27.168055313252342
4/27/06 0:00,24.248136423516996
4/28/06 0:00,21.718469804959685
4/29/06 0:00,25.504946636977806
4/30/06 0:00,25.64015171461877
4/30/06 0:00,NaN
