WATERBODY,STATION,LEASE,LATITUDE,LONGITUDE,DEPLOYMENT_PERIOD,TIMESTAMP,SENSOR,DEPTH,VARIABLE,VALUE,UNITS,MOORING
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:12:42 AM,aquaMeasure-675286,2,Temperature,17.11,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:22:42 AM,aquaMeasure-675286,2,Temperature,17.18,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:32:42 AM,aquaMeasure-675286,2,Temperature,17.22,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:42:42 AM,aquaMeasure-675286,2,Temperature,17.31,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:52:42 AM,aquaMeasure-675286,2,Temperature,17.37,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 05:02:42 AM,aquaMeasure-675286,2,Temperature,17.46,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 05:12:42 AM,aquaMeasure-675286,2,Temperature,17.53,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 05:22:42 AM,aquaMeasure-675286,2,Temperature,17.55,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 05:32:42 AM,aquaMeasure-675286,2,Temperature,17.55,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 05:42:42 AM,aquaMeasure-675286,2,Temperature,17.55,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 05:52:42 AM,aquaMeasure-675286,2,Temperature,17.53,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 06:02:42 AM,aquaMeasure-675286,2,Temperature,17.44,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 06:12:42 AM,aquaMeasure-675286,2,Temperature,17.42,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 06:22:42 AM,aquaMeasure-675286,2,Temperature,17.51,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 06:32:42 AM,aquaMeasure-675286,2,Temperature,17.46,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 06:42:42 AM,aquaMeasure-675286,2,Temperature,17.33,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 06:52:42 AM,aquaMeasure-675286,2,Temperature,17.16,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 07:02:42 AM,aquaMeasure-675286,2,Temperature,17.05,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 07:12:42 AM,aquaMeasure-675286,2,Temperature,17,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 07:22:42 AM,aquaMeasure-675286,2,Temperature,16.81,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 07:32:42 AM,aquaMeasure-675286,2,Temperature,16.61,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 07:42:42 AM,aquaMeasure-675286,2,Temperature,16.61,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 07:52:42 AM,aquaMeasure-675286,2,Temperature,16.63,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 08:02:42 AM,aquaMeasure-675286,2,Temperature,16.57,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 08:12:42 AM,aquaMeasure-675286,2,Temperature,16.5,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 08:22:42 AM,aquaMeasure-675286,2,Temperature,16.39,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 08:32:42 AM,aquaMeasure-675286,2,Temperature,16.31,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 08:42:42 AM,aquaMeasure-675286,2,Temperature,16.07,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 08:52:42 AM,aquaMeasure-675286,2,Temperature,15.81,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 09:02:42 AM,aquaMeasure-675286,2,Temperature,15.7,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 09:12:42 AM,aquaMeasure-675286,2,Temperature,15.72,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 09:22:42 AM,aquaMeasure-675286,2,Temperature,15.77,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 09:32:42 AM,aquaMeasure-675286,2,Temperature,15.83,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 09:42:42 AM,aquaMeasure-675286,2,Temperature,15.85,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 09:52:42 AM,aquaMeasure-675286,2,Temperature,15.88,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 10:02:42 AM,aquaMeasure-675286,2,Temperature,15.81,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 10:12:42 AM,aquaMeasure-675286,2,Temperature,15.77,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 10:22:42 AM,aquaMeasure-675286,2,Temperature,15.68,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 10:32:42 AM,aquaMeasure-675286,2,Temperature,15.66,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 10:42:42 AM,aquaMeasure-675286,2,Temperature,15.57,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 10:52:42 AM,aquaMeasure-675286,2,Temperature,15.51,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 11:02:42 AM,aquaMeasure-675286,2,Temperature,15.47,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 11:12:42 AM,aquaMeasure-675286,2,Temperature,15.4,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 11:22:42 AM,aquaMeasure-675286,2,Temperature,15.34,degrees Celsius,fixed
