,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,C05,FAM,,Unkn-11,,,27.25,27.18,0.104,0.00000,-5.712,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-11,,,27.10,27.18,0.104,0.00000,-5.676,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-19,,,27.78,27.76,0.031,0.00000,-5.840,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-19,,,27.74,27.76,0.031,0.00000,-5.829,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-27,,,38.33,38.03,0.421,0.00000,-8.380,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,37.73,38.03,0.421,0.00000,-8.237,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,38.23,38.23,0.000,0.00000,-8.356,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D01,FAM,,Std-04,,,21.28,21.16,0.170,0.00010,-4.000,0.00010,0.00000,60.0,
,D02,FAM,,Std-04,,,21.04,21.16,0.170,0.00010,-4.000,0.00010,0.00000,60.0,
,D03,FAM,,Unkn-04,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-04,,,37.03,37.03,0.000,0.00000,-8.068,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-12,,,33.04,33.12,0.125,0.00000,-7.105,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,33.21,33.12,0.125,0.00000,-7.148,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,33.53,33.45,0.122,0.00000,-7.224,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,33.36,33.45,0.122,0.00000,-7.183,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,25.41,25.38,0.041,0.00001,-5.267,0.00001,0.00000,60.0,
,D10,FAM,,Unkn-28,,,25.35,25.38,0.041,0.00001,-5.253,0.00001,0.00000,60.0,
,D11,FAM,,Unkn-35,,,36.33,37.34,1.436,0.00000,-7.898,0.00000,0.00000,60.0,
,D12,FAM,,Unkn-35,,,38.36,37.34,1.436,0.00000,-8.387,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,23.54,23.39,0.206,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,FAM,,Std-05,,,23.25,23.39,0.206,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,FAM,,Unkn-05,,,32.35,32.20,0.209,0.00000,-6.940,0.00000,0.00000,60.0,
,E04,FAM,,Unkn-05,,,32.06,32.20,0.209,0.00000,-6.869,0.00000,0.00000,60.0,
,E05,FAM,,Unkn-13,,,28.05,28.06,0.024,0.00000,-5.903,0.00000,0.00000,60.0,
,E06,FAM,,Unkn-13,,,28.08,28.06,0.024,0.00000,-5.911,0.00000,0.00000,60.0,
,E07,FAM,,Unkn-21,,,34.48,34.30,0.259,0.00000,-7.454,0.00000,0.00000,60.0,
,E08,FAM,,Unkn-21,,,34.12,34.30,0.259,0.00000,-7.366,0.00000,0.00000,60.0,
,E09,FAM,,Unkn-29,,,28.30,28.15,0.224,0.00000,-5.965,0.00000,0.00000,60.0,
,E10,FAM,,Unkn-29,,,27.99,28.15,0.224,0.00000,-5.889,0.00000,0.00000,60.0,
,E11,FAM,,Unkn-36,,,35.62,35.95,0.461,0.00000,-7.728,0.00000,0.00000,60.0,
,E12,FAM,,Unkn-36,,,36.27,35.95,0.461,0.00000,-7.885,0.00000,0.00000,60.0,
,F01,FAM,,Std-06,,,28.15,28.06,0.131,0.00000,-6.000,0.00000,0.00000,60.0,
,F02,FAM,,Std-06,,,27.97,28.06,0.131,0.00000,-6.000,0.00000,0.00000,60.0,
,F03,FAM,,Unkn-06,,,33.38,33.15,0.320,0.00000,-7.187,0.00000,0.00000,60.0,
,F04,FAM,,Unkn-06,,,32.92,33.15,0.320,0.00000,-7.078,0.00000,0.00000,60.0,
,F05,FAM,,Unkn-14,,,29.52,29.55,0.046,0.00000,-6.258,0.00000,0.00000,60.0,
,F06,FAM,,Unkn-14,,,29.59,29.55,0.046,0.00000,-6.274,0.00000,0.00000,60.0,
,F07,FAM,,Unkn-22,,,29.36,29.22,0.198,0.00000,-6.220,0.00000,0.00000,60.0,
,F08,FAM,,Unkn-22,,,29.08,29.22,0.198,0.00000,-6.153,0.00000,0.00000,60.0,
,F09,FAM,,Unkn-30,,,38.11,38.53,0.591,0.00000,-8.328,0.00000,0.00000,60.0,
,F10,FAM,,Unkn-30,,,38.95,38.53,0.591,0.00000,-8.529,0.00000,0.00000,60.0,
,F11,FAM,,Unkn-37,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F12,FAM,,Unkn-37,,,37.81,37.81,0.000,0.00000,-8.256,0.00000,0.00000,60.0,
,G01,FAM,,Std-07,,,33.13,33.05,0.114,0.00000,-7.000,0.00000,0.00000,60.0,
,G02,FAM,,Std-07,,,32.97,33.05,0.114,0.00000,-7.000,0.00000,0.00000,60.0,
,G03,FAM,,Unkn-07,,,27.25,27.25,0.011,0.00000,-5.712,0.00000,0.00000,60.0,
,G04,FAM,,Unkn-07,,,27.24,27.25,0.011,0.00000,-5.708,0.00000,0.00000,60.0,
,G05,FAM,,Unkn-15,,,26.91,26.75,0.223,0.00000,-5.630,0.00000,0.00000,60.0,
,G06,FAM,,Unkn-15,,,26.60,26.75,0.223,0.00000,-5.554,0.00000,0.00000,60.0,
,G07,FAM,,Unkn-23,,,30.80,30.67,0.190,0.00000,-6.567,0.00000,0.00000,60.0,
,G08,FAM,,Unkn-23,,,30.53,30.67,0.190,0.00000,-6.502,0.00000,0.00000,60.0,
,G09,FAM,,Unkn-31,,,36.52,35.69,1.178,0.00000,-7.944,0.00000,0.00000,60.0,
,G10,FAM,,Unkn-31,,,34.85,35.69,1.178,0.00000,-7.543,0.00000,0.00000,60.0,
,G11,FAM,,Pos Ctrl,,,32.31,32.31,0.000,0.00000,-6.931,0.00000,0.00000,60.0,
,G12,FAM,,Pos Ctrl,,,32.06,32.06,0.000,0.00000,-6.869,0.00000,0.00000,60.0,
,H01,FAM,,Unkn-38,,,27.43,27.02,0.569,0.00000,-5.754,0.00000,0.00000,60.0,
,H02,FAM,,Unkn-38,,,26.62,27.02,0.569,0.00000,-5.560,0.00000,0.00000,60.0,
,H03,FAM,,Unkn-08,,,21.19,21.12,0.109,0.00006,-4.252,0.00006,0.00000,60.0,
,H04,FAM,,Unkn-08,,,21.04,21.12,0.109,0.00006,-4.215,0.00006,0.00000,60.0,
,H05,FAM,,Unkn-16,,,21.24,21.05,0.278,0.00005,-4.264,0.00006,0.00001,60.0,
